parcel_id,name,quantity,price,expiration_date,barcode,auto_delete
PCL-00001,Box 627,99,831.66,2027-11-07,083826304332,Yes
PCL-00002,Crate 917,4,634.76,2028-03-13,880030733050,Yes
PCL-00003,Satchel 444,71,69.42,2027-03-02,443331572047,No
PCL-00004,Satchel 804,64,477.47,2027-03-27,182429365818,No
PCL-00005,Container 503,63,562.57,2027-10-10,955326538119,Yes
PCL-00006,Box 681,50,119.45,2027-07-26,118232079051,Yes
PCL-00007,Tube 246,89,770.61,2027-11-27,011487240233,Yes
PCL-00008,Container 740,6,438.73,2026-04-16,498895421721,Yes
PCL-00009,Tube 288,42,128.15,2026-12-14,594209612812,No
PCL-00010,Envelope 451,45,233.36,2027-06-26,095919749759,No
PCL-00011,Crate 997,100,865.48,2028-02-06,352264984601,Yes
PCL-00012,Bag 493,87,893.74,2026-09-01,109983365370,No
PCL-00013,Bundle 551,89,84.95,2026-08-31,539476223012,Yes
PCL-00014,Envelope 294,65,10.27,2026-06-09,157031913973,No
PCL-00015,Bag 513,74,978.09,2027-05-22,599368188659,No
PCL-00016,Bag 306,14,39.86,2026-06-05,147052311006,Yes
PCL-00017,Crate 521,42,862.99,2028-06-02,187577345981,No
PCL-00018,Bundle 237,81,274.57,2028-07-13,999055166450,No
PCL-00019,Bag 936,54,350.3,2026-10-10,640556769474,Yes
PCL-00020,Container 657,40,863.39,2028-07-03,897041621258,Yes
PCL-00021,Parcel 114,55,63.73,2026-02-23,632547306287,Yes
PCL-00022,Envelope 470,66,238.94,2026-03-28,790558000749,Yes
PCL-00023,Envelope 415,9,321.51,2027-08-28,696332743270,No
PCL-00024,Satchel 589,63,268.73,2026-04-06,271081006693,Yes
PCL-00025,Package 622,92,292.53,2027-05-30,778699690417,Yes
PCL-00026,Crate 542,65,166.56,2028-04-20,606355540102,Yes
PCL-00027,Envelope 944,58,487.84,2027-05-24,334152958098,Yes
PCL-00028,Satchel 661,63,782.73,2026-03-06,741883241964,No
PCL-00029,Container 436,18,278.14,2026-06-28,444548013064,No
PCL-00030,Bag 354,32,224.86,2027-11-07,097655798106,No
PCL-00031,Bag 926,66,680.15,2026-05-23,256642783687,No
PCL-00032,Package 987,51,604.49,2026-01-16,076020937887,Yes
PCL-00033,Envelope 962,47,58.09,2027-06-28,070776220394,No
PCL-00034,Satchel 465,69,757.14,2027-05-26,752339045161,Yes
PCL-00035,Package 431,6,441.35,2028-01-14,426257518250,Yes
PCL-00036,Tube 859,79,864.54,2027-04-13,582639909157,No
PCL-00037,Box 998,19,66.35,2027-09-25,836097291193,Yes
PCL-00038,Package 972,59,631.59,2028-02-27,032746180997,Yes
PCL-00039,Parcel 703,33,938.18,2027-02-18,274851077163,Yes
PCL-00040,Bag 448,69,226.43,2028-05-16,069714007087,Yes
PCL-00041,Bundle 804,52,204.25,2028-02-28,479063149036,Yes
PCL-00042,Tube 632,36,968.52,2027-11-25,798590007771,Yes
PCL-00043,Box 543,66,519.5,2028-05-11,114952131221,No
PCL-00044,Box 685,33,56.37,2027-05-10,982659938367,Yes
