parcel_id,name,quantity,price,expiration_date,barcode,auto_delete
P001,Milk,10,35,2025-11-05,1234567890,Yes
P002,Bread,25,10,2025-10-30,1234567891,No
P003,Butter,8,50,2025-12-01,1234567892,Yes
P004,Eggs,30,8,2025-10-28,1234567893,No
P005,Cheese,5,120,2025-12-15,1234567894,Yes
P003,Bread,83,34,2025-06-03,102,Yes
P003,Eggs,158,159,2024-11-30,162,Yes
P001,Eggs,183,49,2025-03-21,35,No
P003,Milk,4,19,2025-03-30,67,No
P001,Cheese,121,169,2025-02-27,190,No
P004,Butter,169,47,2025-07-27,134,No
P004,Cheese,97,10,2025-05-02,21,Yes
P001,Eggs,146,138,2025-02-05,68,No
P004,Cheese,149,158,2025-10-02,75,No
P002,Eggs,103,112,2025-04-01,16,No
P001,Eggs,176,176,2025-02-16,185,Yes
P005,Butter,108,111,2025-08-03,175,Yes
P005,Milk,78,90,2025-05-10,132,No
P005,Bread,22,191,2024-11-01,43,No
P004,Butter,31,58,2025-03-02,163,No
P002,Butter,22,114,2025-05-24,141,Yes
P001,Eggs,147,165,2025-09-08,140,Yes
P004,Eggs,39,175,2025-01-06,35,No
P002,Eggs,115,198,2025-04-23,105,Yes
P003,Bread,54,45,2025-05-11,26,Yes
